Summary Data For Electricity Consumption by Consuming Sector Having Year : ALL Region : ALL
.
YearValue,ConsumingSector,BroadCategory,Consumption_GWh
2006,AGRICULTURE,AGRICULTURE,90292.401
2006,COMMERCIAL,COMMERCIAL,35964.590
2006,RESIDENTIAL,RESIDENTIAL,100090.120
2006,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,179779.600
2006,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,34340.990
2006,MISCELLANEOUS,OTHER,8603.810
2006,PUBLIC LIGHTING,OTHER,5177.160
2006,PUBLIC WATER WORKS AND SEWAGE,OTHER,10258.150
2006,TRACTION,TRANSPORT,9943.890
2007,AGRICULTURE,AGRICULTURE,99023.190
2007,COMMERCIAL,COMMERCIAL,46101.640
2007,RESIDENTIAL,RESIDENTIAL,111001.630
2007,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,205195.420
2007,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,36018.610
2007,MISCELLANEOUS,OTHER,7254.810
2007,PUBLIC LIGHTING,OTHER,5824.780
2007,PUBLIC WATER WORKS AND SEWAGE,OTHER,10330.790
2007,TRACTION,TRANSPORT,10800.010
2008,AGRICULTURE,AGRICULTURE,104181.690
2008,COMMERCIAL,COMMERCIAL,52875.880
2008,RESIDENTIAL,RESIDENTIAL,120918.220
2008,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,224576.230
2008,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,40827.020
2008,MISCELLANEOUS,OTHER,11737.770
2008,PUBLIC LIGHTING,OTHER,6131.120
2008,PUBLIC WATER WORKS AND SEWAGE,OTHER,11791.170
2008,TRACTION,TRANSPORT,11108.340
2009,AGRICULTURE,AGRICULTURE,107776.090
2009,COMMERCIAL,COMMERCIAL,59672.280
2009,RESIDENTIAL,RESIDENTIAL,130056.480
2009,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,234109.880
2009,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,45543.020
2009,MISCELLANEOUS,OTHER,10120.780
2009,PUBLIC LIGHTING,OTHER,6141.400
2009,PUBLIC WATER WORKS AND SEWAGE,OTHER,12191.400
2009,TRACTION,TRANSPORT,11808.360
2010,AGRICULTURE,AGRICULTURE,119491.830
2010,COMMERCIAL,COMMERCIAL,66490.320
2010,RESIDENTIAL,RESIDENTIAL,141844.720
2010,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,252363.070
2010,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,45251.460
2010,MISCELLANEOUS,OTHER,8962.460
2010,PUBLIC LIGHTING,OTHER,6196.830
2010,PUBLIC WATER WORKS AND SEWAGE,OTHER,12552.380
2010,TRACTION,TRANSPORT,12389.830
2011,AGRICULTURE,AGRICULTURE,126377.430
2011,COMMERCIAL,COMMERCIAL,63911.700
2011,RESIDENTIAL,RESIDENTIAL,155300.970
2011,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,274400.730
2011,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,46716.730
2011,MISCELLANEOUS,OTHER,12632.080
2011,PUBLIC LIGHTING,OTHER,6730.870
2011,PUBLIC WATER WORKS AND SEWAGE,OTHER,13673.360
2011,TRACTION,TRANSPORT,13323.400
2012,AGRICULTURE,AGRICULTURE,140960.415
2012,COMMERCIAL,COMMERCIAL,65381.473
2012,RESIDENTIAL,RESIDENTIAL,171103.599
2012,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,305656.112
2012,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,46635.457
2012,MISCELLANEOUS,OTHER,18546.828
2012,PUBLIC LIGHTING,OTHER,7455.193
2012,PUBLIC WATER WORKS AND SEWAGE,OTHER,15250.109
2012,TRACTION,TRANSPORT,14205.641
2013,AGRICULTURE,AGRICULTURE,147461.910
2013,COMMERCIAL,COMMERCIAL,72793.590
2013,RESIDENTIAL,RESIDENTIAL,183700.440
2013,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,319192.270
2013,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,46796.730
2013,MISCELLANEOUS,OTHER,15933.780
2013,PUBLIC LIGHTING,OTHER,8096.560
2013,PUBLIC WATER WORKS AND SEWAGE,OTHER,16225.900
2013,TRACTION,TRANSPORT,14099.990
2014,AGRICULTURE,AGRICULTURE,152744.340
2014,COMMERCIAL,COMMERCIAL,74246.970
2014,RESIDENTIAL,RESIDENTIAL,199841.800
2014,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,333265.360
2014,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,51152.940
2014,MISCELLANEOUS,OTHER,19680.050
2014,PUBLIC LIGHTING,OTHER,8550.250
2014,PUBLIC WATER WORKS AND SEWAGE,OTHER,19187.210
2014,TRACTION,TRANSPORT,15539.680
2015,AGRICULTURE,AGRICULTURE,168913.460
2015,COMMERCIAL,COMMERCIAL,78391.380
2015,RESIDENTIAL,RESIDENTIAL,217404.730
2015,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,362853.700
2015,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,53571.190
2015,MISCELLANEOUS,OTHER,21707.600
2015,PUBLIC LIGHTING,OTHER,8744.440
2015,PUBLIC WATER WORKS AND SEWAGE,OTHER,18837.100
2015,TRACTION,TRANSPORT,16176.940
2016,AGRICULTURE,AGRICULTURE,173185.370
2016,COMMERCIAL,COMMERCIAL,86036.570
2016,RESIDENTIAL,RESIDENTIAL,238845.690
2016,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,379268.980
2016,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,56760.490
2016,MISCELLANEOUS,OTHER,33922.970
2016,PUBLIC LIGHTING,OTHER,8931.260
2016,PUBLIC WATER WORKS AND SEWAGE,OTHER,20121.580
2016,TRACTION,TRANSPORT,16594.330
2017,AGRICULTURE,AGRICULTURE,191150.880
2017,COMMERCIAL,COMMERCIAL,89824.920
2017,RESIDENTIAL,RESIDENTIAL,255826.010
2017,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,375722.330
2017,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,64483.180
2017,MISCELLANEOUS,OTHER,39682.490
2017,PUBLIC LIGHTING,OTHER,9399.120
2017,PUBLIC WATER WORKS AND SEWAGE,OTHER,19410.930
2017,TRACTION,TRANSPORT,15682.750
2018,AGRICULTURE,AGRICULTURE,199246.840
2018,COMMERCIAL,COMMERCIAL,93754.870
2018,RESIDENTIAL,RESIDENTIAL,273545.030
2018,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,401541.220
2018,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,67072.090
2018,MISCELLANEOUS,OTHER,40293.530
2018,PUBLIC LIGHTING,OTHER,9669.080
2018,PUBLIC WATER WORKS AND SEWAGE,OTHER,20871.550
2018,TRACTION,TRANSPORT,17432.660
2019,AGRICULTURE,AGRICULTURE,213409.170
2019,COMMERCIAL,COMMERCIAL,98227.640
2019,RESIDENTIAL,RESIDENTIAL,288243.120
2019,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,451449.770
2019,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,67746.540
2019,MISCELLANEOUS,OTHER,40048.260
2019,PUBLIC LIGHTING,OTHER,9676.060
2019,PUBLIC WATER WORKS AND SEWAGE,OTHER,22333.700
2019,TRACTION,TRANSPORT,18837.420
