Summary Data For Electricity Energy Demand & Deficit by State Having Year : ALL Region : ALL
.
YearValue,State,EnergyRequirement_MU,EnergyAvailability_MU
2008,WEST BENGAL,29020.000,27902.000
2009,WEST BENGAL,31289.000,30290.000
2010,WEST BENGAL,33750.000,32819.000
2011,WEST BENGAL,36481.000,35847.000
2012,WEST BENGAL,38679.000,38281.000
2013,WEST BENGAL,42143.000,41842.000
2014,WEST BENGAL,42891.000,42762.000
2015,WEST BENGAL,47086.000,46827.000
2016,WEST BENGAL,47359.000,47194.000
2017,WEST BENGAL,47948.000,47807.000
2018,WEST BENGAL,50760.000,50569.000
2019,WEST BENGAL,51471.000,51287.000
2020,WEST BENGAL,52948.000,52824.000
2008,JHARKHAND,5139.000,4458.000
2009,JHARKHAND,5361.000,5110.000
2010,JHARKHAND,5867.000,5407.000
2011,JHARKHAND,6195.000,5985.000
2012,JHARKHAND,6280.000,6030.000
2013,JHARKHAND,7042.000,6765.000
2014,JHARKHAND,7143.000,7007.000
2015,JHARKHAND,7599.000,7390.000
2016,JHARKHAND,7735.000,7560.000
2017,JHARKHAND,7960.000,7906.000
2018,JHARKHAND,7907.000,7753.000
2019,JHARKHAND,8737.000,8490.000
2020,JHARKHAND,8941.000,8872.000
2008,BIHAR,9155.000,7933.000
2009,BIHAR,10527.000,8801.000
2010,BIHAR,11587.000,9914.000
2011,BIHAR,12384.000,10772.000
2012,BIHAR,14311.000,11260.000
2013,BIHAR,15409.000,12835.000
2014,BIHAR,15391.000,14759.000
2015,BIHAR,19294.000,18759.000
2016,BIHAR,23960.000,23658.000
2017,BIHAR,25711.000,25130.000
2018,BIHAR,27019.000,26603.000
2019,BIHAR,30061.000,29825.000
2020,BIHAR,31627.000,31533.000
2008,MADHYA PRADESH,41560.000,35700.000
2009,MADHYA PRADESH,42054.000,34841.000
2010,MADHYA PRADESH,43179.000,34973.000
2011,MADHYA PRADESH,48437.000,38644.000
2012,MADHYA PRADESH,49785.000,41392.000
2013,MADHYA PRADESH,51783.000,46829.000
2014,MADHYA PRADESH,49410.000,49385.000
2015,MADHYA PRADESH,53374.000,53082.000
2016,MADHYA PRADESH,62375.000,62375.000
2017,MADHYA PRADESH,65759.000,65758.000
2018,MADHYA PRADESH,69925.000,69925.000
2019,MADHYA PRADESH,76056.000,76054.000
2020,MADHYA PRADESH,76172.000,76172.000
2008,CHHATTISGARH,14079.000,13409.000
2009,CHHATTISGARH,14866.000,14475.000
2010,CHHATTISGARH,11009.000,10739.000
2011,CHHATTISGARH,10340.000,10165.000
2012,CHHATTISGARH,15013.000,14615.000
2013,CHHATTISGARH,17302.000,17003.000
2014,CHHATTISGARH,18932.000,18800.000
2015,CHHATTISGARH,21499.000,21230.000
2016,CHHATTISGARH,25650.000,25310.000
2017,CHHATTISGARH,23750.000,23697.000
2018,CHHATTISGARH,25916.000,25832.000
2019,CHHATTISGARH,26471.000,26417.000
2020,CHHATTISGARH,30111.000,30107.000
2008,UTTAR PRADESH,62628.000,51335.000
2009,UTTAR PRADESH,69207.000,54309.000
2010,UTTAR PRADESH,75930.000,59508.000
2011,UTTAR PRADESH,76292.000,64846.000
2012,UTTAR PRADESH,81339.000,72116.000
2013,UTTAR PRADESH,91647.000,76446.000
2014,UTTAR PRADESH,94890.000,81613.000
2015,UTTAR PRADESH,103179.000,87062.000
2016,UTTAR PRADESH,106350.000,93033.000
2017,UTTAR PRADESH,107569.000,105701.000
2018,UTTAR PRADESH,120052.000,118303.000
2019,UTTAR PRADESH,117133.000,116149.000
2020,UTTAR PRADESH,122549.000,121004.000
2008,MAHARASHTRA,114885.000,93846.000
2009,MAHARASHTRA,121901.000,95761.000
2010,MAHARASHTRA,124936.000,101512.000
2011,MAHARASHTRA,128296.000,107018.000
2012,MAHARASHTRA,141382.000,117722.000
2013,MAHARASHTRA,123984.000,119972.000
2014,MAHARASHTRA,126288.000,123672.000
2015,MAHARASHTRA,134897.000,133078.000
2016,MAHARASHTRA,141817.000,141361.000
2017,MAHARASHTRA,139295.000,139228.000
2018,MAHARASHTRA,149761.000,149531.000
2019,MAHARASHTRA,158295.000,158157.000
2020,MAHARASHTRA,155167.000,155166.000
2008,ODISHA,18846.000,18500.000
2009,ODISHA,20519.000,20214.000
2010,ODISHA,21136.000,20955.000
2011,ODISHA,22506.000,22449.000
2012,ODISHA,23036.000,22693.000
2013,ODISHA,25155.000,24320.000
2014,ODISHA,24958.000,24546.000
2015,ODISHA,26482.000,26052.000
2016,ODISHA,26763.000,26600.000
2017,ODISHA,26758.000,26756.000
2018,ODISHA,28802.000,28706.000
2019,ODISHA,32145.000,32115.000
2020,ODISHA,29692.000,29692.000
2008,ANDHRA PRADESH,64139.000,61511.000
2009,ANDHRA PRADESH,71511.000,66673.000
2010,ANDHRA PRADESH,78996.000,73765.000
2011,ANDHRA PRADESH,78970.000,76450.000
2012,ANDHRA PRADESH,91730.000,85149.000
2013,ANDHRA PRADESH,99692.000,82171.000
2014,ANDHRA PRADESH,95662.000,89036.000
2015,ANDHRA PRADESH,59198.000,56313.000
2016,ANDHRA PRADESH,50437.000,50366.000
2017,ANDHRA PRADESH,54300.000,54257.000
2018,ANDHRA PRADESH,58384.000,58288.000
2019,ANDHRA PRADESH,63861.000,63804.000
2020,ANDHRA PRADESH,65452.000,65414.000
2008,TELANGANA,0.000,0.000
2009,TELANGANA,0.000,0.000
2010,TELANGANA,0.000,0.000
2011,TELANGANA,0.000,0.000
2012,TELANGANA,0.000,0.000
2013,TELANGANA,0.000,0.000
2014,TELANGANA,0.000,0.000
2015,TELANGANA,43337.000,40644.000
2016,TELANGANA,50254.000,49948.000
2017,TELANGANA,53030.000,53018.000
2018,TELANGANA,60319.000,60235.000
2019,TELANGANA,66489.000,66427.000
2020,TELANGANA,68306.000,68303.000
2008,SIKKIM,284.000,267.000
2009,SIKKIM,236.000,184.000
2010,SIKKIM,388.000,345.000
2011,SIKKIM,402.000,402.000
2012,SIKKIM,390.000,384.000
2013,SIKKIM,409.000,409.000
2014,SIKKIM,413.000,413.000
2015,SIKKIM,399.000,399.000
2016,SIKKIM,399.000,399.000
2017,SIKKIM,475.000,475.000
2018,SIKKIM,485.000,484.000
2019,SIKKIM,527.000,527.000
2020,SIKKIM,554.000,554.000
2008,ASSAM,4816.000,4412.000
2009,ASSAM,5107.000,4567.000
2010,ASSAM,5122.000,4688.000
2011,ASSAM,5403.000,5063.000
2012,ASSAM,6034.000,5696.000
2013,ASSAM,6495.000,6048.000
2014,ASSAM,7544.000,7062.000
2015,ASSAM,8527.000,7926.000
2016,ASSAM,8762.000,8271.000
2017,ASSAM,9020.000,8694.000
