Summary Data For Gas Consumption - CNG Sales Quantity Having Year : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE,,,
.,,,
YearValue,State,Companies,SalesQty_000Tonne
2014,WEST BENGAL,GREAT EASTERN ENERGY CORPORATION LTD,1.154
2015,WEST BENGAL,GREAT EASTERN ENERGY CORPORATION LTD,1.244
2017,WEST BENGAL,GREAT EASTERN ENERGY CORPORATION LTD,1.64
2018,WEST BENGAL,GREAT EASTERN ENERGY CORPORATION LTD,2.02
2019,WEST BENGAL,GREAT EASTERN ENERGY CORPORATION LTD,2.5
2020,WEST BENGAL,GREAT EASTERN ENERGY CORPORATION LTD,2.42
2020,JHARKHAND,GAIL (INDIA) LIMITED,0.34
2020,BIHAR,GAIL (INDIA) LIMITED,2.02
2014,MADHYA PRADESH,AVANTIKA GAS LTD,15.9
2015,MADHYA PRADESH,AVANTIKA GAS LTD,16.6
2016,MADHYA PRADESH,-,27.425
2017,MADHYA PRADESH,THINK GAS BHOPAL PRIVATE LIMITED,21.59
2018,MADHYA PRADESH,THINK GAS BHOPAL PRIVATE LIMITED,24.772
2019,MADHYA PRADESH,THINK GAS BHOPAL PRIVATE LIMITED,30.643
2020,MADHYA PRADESH,THINK GAS BHOPAL PRIVATE LIMITED,34.13
2014,UTTAR PRADESH,GREEN GAS LTD,162.6
2015,UTTAR PRADESH,GREEN GAS LTD,184.8
2016,UTTAR PRADESH,-,147.339
2017,UTTAR PRADESH,ADANI GAS LIMITED,245.42
2018,UTTAR PRADESH,ADANI GAS LIMITED,152.802
2019,UTTAR PRADESH,ADANI GAS LIMITED,282.256
