Summary Data For Gas Supply - Import Countrywise Having Year : ALL
.
YearValue,Country,GasType,Qty_Tonne,PriceRsPerKg
2014,QATAR,LIQUIFIED NATURAL GAS (LNG),11579139.000,39.200
2015,QATAR,LIQUIFIED NATURAL GAS (LNG),10896163.000,42.879
2013,QATAR,LIQUIFIED NATURAL GAS (LNG),10302368.000,30.281
2012,QATAR,LIQUIFIED NATURAL GAS (LNG),10271012.000,22.783
2019,QATAR,LIQUIFIED NATURAL GAS (LNG),10261372.000,36.665
2020,QATAR,LIQUIFIED NATURAL GAS (LNG),10067544.000,31.317
2017,QATAR,LIQUIFIED NATURAL GAS (LNG),10065500.000,22.718
2018,QATAR,LIQUIFIED NATURAL GAS (LNG),9969158.000,26.631
2016,QATAR,LIQUIFIED NATURAL GAS (LNG),9504899.000,31.178
2011,QATAR,LIQUIFIED NATURAL GAS (LNG),8053129.500,14.383
2010,QATAR,LIQUIFIED NATURAL GAS (LNG),6795541.500,11.133
2009,QATAR,LIQUIFIED NATURAL GAS (LNG),6480479.500,9.957
2008,QATAR,LIQUIFIED NATURAL GAS (LNG),6476690.500,8.334
2007,QATAR,LIQUIFIED NATURAL GAS (LNG),5471813.500,7.622
2006,QATAR,LIQUIFIED NATURAL GAS (LNG),4462693.500,6.485
2020,UAE,LIQUIFIED NATURAL GAS (LNG),3028335.750,21.155
2018,NIGERIA,LIQUIFIED NATURAL GAS (LNG),3004489.250,23.661
2020,NIGERIA,LIQUIFIED NATURAL GAS (LNG),2901944.250,25.883
2019,NIGERIA,LIQUIFIED NATURAL GAS (LNG),2780447.250,29.399
2020,ANGOLA,LIQUIFIED NATURAL GAS (LNG),2577518.750,27.251
2005,QATAR,LIQUIFIED NATURAL GAS (LNG),2365314.250,6.541
2017,NIGERIA,LIQUIFIED NATURAL GAS (LNG),2309662.250,20.647
2018,AUSTRALIA,LIQUIFIED NATURAL GAS (LNG),1748797.250,26.956
2020,USA,LIQUIFIED NATURAL GAS (LNG),1636237.130,28.623
2016,NIGERIA,LIQUIFIED NATURAL GAS (LNG),1518749.880,32.112
2019,ANGOLA,LIQUIFIED NATURAL GAS (LNG),1511723.000,32.721
2017,AUSTRALIA,LIQUIFIED NATURAL GAS (LNG),1405808.500,24.792
2012,NIGERIA,LIQUIFIED NATURAL GAS (LNG),1356008.130,29.844
2018,ANGOLA,LIQUIFIED NATURAL GAS (LNG),1354273.000,25.171
2019,OMAN,LIQUIFIED NATURAL GAS (LNG),1296097.880,33.229
2019,AUSTRALIA,LIQUIFIED NATURAL GAS (LNG),1246811.750,35.095
2019,USA,LIQUIFIED NATURAL GAS (LNG),1233773.130,29.603
2013,NIGERIA,LIQUIFIED NATURAL GAS (LNG),1159479.380,33.673
2018,EQUTL GUINEA,LIQUIFIED NATURAL GAS (LNG),1034287.000,23.011
2017,EQUTL GUINEA,LIQUIFIED NATURAL GAS (LNG),1008882.250,22.932
2020,AUSTRALIA,LIQUIFIED NATURAL GAS (LNG),957482.440,29.739
2015,NIGERIA,LIQUIFIED NATURAL GAS (LNG),886799.500,41.016
2019,EQUTL GUINEA,LIQUIFIED NATURAL GAS (LNG),878170.940,31.753
2020,OMAN,LIQUIFIED NATURAL GAS (LNG),763883.500,28.811
