,state,average gas quantity import,average price
0,QATAR,8313926.078125,25.147657432501486
1,UAE,480159.0789999999,23.52278467119645
2,NIGERIA,1265902.9149999998,27.98101045584188
3,ANGOLA,1464714.1025,27.792120940350877
4,AUSTRALIA,646781.5446363636,27.030888294004008
5,USA,910469.22,28.62885185890194
6,OMAN,403815.77916666673,26.743179260542973
7,EQUTL GUINEA,782723.95,25.49123401398922
8,YEMEN REPUBLC,372118.196,34.32437712808862
9,CAMEROON,433610.43999999994,26.915665593741238
10,EGYPT,246244.17636363636,30.921042436510746
11,RUSSIA,239465.58333333334,16.861391548959542
12,TRINIDAD,228479.52750000005,24.306794137689934
13,SOUTH AFRICA,150426.82400000002,
14,ALGERIA,206720.2618181818,29.196034554777867
15,BELGIUM,125924.046,
16,MALAYSIA,138933.70099999997,24.932341987218784
17,NETHERLAND,130513.8075,
18,INDONESIA,106216.34199999999,24.194351351169672
19,FRANCE,130170.02499999998,32.90557576116314
20,UNSPECIFIED,74891.996,19.090779263140487
21,SPAIN,132807.295,35.320036966719336
22,UK,68657.738,
23,AUSTRIA,124905.0,18.31582034346103
24,U S A,177076.0,25.825473001084283
25,SAUDI ARABIA,114827.42333333334,13.908773629684918
26,NORWAY,74051.14125,32.214102341771806
27,NIGER,88375.0,29.014633663366336
28,BERMUDA,104819.0,29.815000000000005
29,PAPUA N GNA,74208.0,24.991
30,BRAZIL,66542.66,25.792
31,SINGAPORE,32918.835,
32,PERU,49263.525,28.915235627170404
33,GUINEA,59961.41333333333,32.82457302318424
34,PAKISTAN IR,62064.0,11.802
35,BRUNEI,61712.11,43.721
36,SWITZERLAND,30743.625,
37,JAPAN,60437.0,37.227000000000004
38,ITALY,59310.0,50.092
39,PORTUGAL,58463.0,22.149
40,KOREA RP,52950.0,51.328
41,BAHARAIN IS,6534.0,16.728
42,CHINA P R,0.12,66.667
43,GERMANY,0.02,
