,region,average oil consumption
0,WEST BENGAL,7263.508600000001
1,JHARKHAND,2766.7822
2,BIHAR,4417.4375
3,MADHYA PRADESH,6581.661600000001
4,CHHATTISGARH,2826.2063
5,UTTAR PRADESH,11367.340099999998
6,MAHARASHTRA,18454.406299999995
7,ODISHA,4494.168899999999
8,ANDHRA PRADESH,8346.9998
9,TELANGANA,3717.3246
10,SIKKIM,104.85139999999998
11,ASSAM,2144.4791
12,ARUNACHAL PRADESH,196.7706
13,MEGHALAYA,458.533
14,NAGALAND,131.4767
15,GUJARAT,18509.7189
16,JAMMU & KASHMIR,3004.8298999999997
17,KERALA,5610.8675
18,PUDUCHERRY,520.8005
19,RAJASTHAN,11711.982500000002
20,TAMILNADU,13129.780499999999
21,DELHI,4403.9987
22,HARYANA,10297.326899999998
23,HIMACHAL PRADESH,1573.9235
24,KARNATAKA,10415.470899999998
25,PUNJAB,6136.5239
26,UTTARAKHAND,1368.8368999999998
27,GOA,831.4349999999998
28,MANIPUR,177.7759
29,MIZORAM,114.47049999999999
30,TRIPURA,205.63059999999996
31,A & N ISLANDS,174.4858
32,DIU & DAMAN,171.4404
33,LAKSHADWEEP,15.327099999999998
34,CHANDIGARH,378.1135
35,DADRA & NAGAR HAVELI,356.0087
36,OTHERS,15803.4521
37,LADAKH,0.0
