,Generation_GWh,predicted_mean
2017-01-01 00:00:00,1082449.24,
2018-01-01 00:00:00,1130458.329,
2019-01-01 00:00:00,1206515.691,
2020-01-01 00:00:00,1199742.768,
2006-01-01 00:00:00,457521.45,
2007-01-01 00:00:00,493567.6,
2008-01-01 00:00:00,519914.58,
2009-01-01 00:00:00,565663.73,
2010-01-01 00:00:00,594727.35,
2011-01-01 00:00:00,635517.99,
2012-01-01 00:00:00,693773.9,
2013-01-01 00:00:00,807006.81,
2014-01-01 00:00:00,866133.37,
2015-01-01 00:00:00,965646.05,
2016-01-01 00:00:00,1033386.15,
15,,1034874.5262740959
16,,1034772.676163322
17,,1034779.6458021459
18,,1034779.1688673153
19,,1034779.2015041332
20,,1034779.1992707843
21,,1034779.1994236131
22,,1034779.199413155
23,,1034779.1994138706
24,,1034779.1994138216
25,,1034779.199413825
26,,1034779.1994138247
27,,1034779.1994138247
28,,1034779.1994138247
29,,1034779.1994138247
30,,1034779.1994138247
31,,1034779.1994138247
32,,1034779.1994138247
33,,1034779.1994138247
34,,1034779.1994138247
