,Generation_GWh,predicted_mean
2006-01-01,103030.18,
2007-01-01,113933.89,
2008-01-01,124077.63,
2009-01-01,113227.17,
2010-01-01,106831.4,
2011-01-01,114406.15,
2012-01-01,130642.75,
2013-01-01,113838.47,
2014-01-01,134976.59,
2015-01-01,129388.38,
2016-01-01,121486.84,
2017-01-01,122521.203,
2018-01-01,126235.18,
2019-01-01,135163.649,
2020-01-01,156117.158,
2021-01-01,,155979.3808321368
2022-01-01,,169189.61839986453
2023-01-01,,170825.60174324253
2024-01-01,,184035.83931097027
2025-01-01,,185671.82265434827
2026-01-01,,198882.06022207602
2027-01-01,,200518.04356545402
2028-01-01,,213728.28113318176
2029-01-01,,215364.26447655977
2030-01-01,,228574.5020442875
