,ratio,predicted_mean
2006-01-01,100.56188104746766,
2007-01-01,73.58622428168349,
2008-01-01,40.44109684906023,
2009-01-01,35.14349716088732,
2010-01-01,30.857266827984418,
2011-01-01,27.857312936976903,
2012-01-01,24.56207461821164,
2013-01-01,22.336021270868383,
2014-01-01,20.99896102525789,
2015-01-01,20.25237882032734,
2016-01-01,18.713954048724393,
2017-01-01,15.798256274580977,
2018-01-01,13.238054394598617,
2019-01-01,11.15001357593398,
2020-01-01,10.219642768232125,
2021-01-01,,10.062631744623875
2022-01-01,,9.44041468475679
2023-01-01,,8.73897998734569
2024-01-01,,8.096660410060169
2025-01-01,,7.521348205854064
2026-01-01,,7.011060526952795
2027-01-01,,6.558988751339256
2028-01-01,,6.158709323761045
2029-01-01,,5.804312352888358
2030-01-01,,5.490548119191992
2031-01-01,,5.212758999199131
2032-01-01,,4.966820635353867
2033-01-01,,4.749081128622326
2034-01-01,,4.556307266685076
2035-01-01,,4.38563653283483
2036-01-01,,4.2345346202548315
2037-01-01,,4.100757800674186
2038-01-01,,3.982319607893885
2039-01-01,,3.877461340575931
2040-01-01,,3.7846259471388697
