,Generation_GWh,predicted_mean
2008-01-01,2.426,
2009-01-01,2.426,
2010-01-01,12.02,
2011-01-01,37.241,
2012-01-01,1347.733,
2013-01-01,2337.616,
2014-01-01,3581.522,
2015-01-01,4925.094,
2016-01-01,7478.543,
2017-01-01,13564.023,
2018-01-01,26056.987,
2019-01-01,40047.918,
2020-01-01,51938.299,
2021-01-01,,63262.4167678605
2022-01-01,,74796.09508861031
2023-01-01,,86543.21202376625
2024-01-01,,98507.71740102877
2025-01-01,,110693.63414236439
2026-01-01,,123105.05961666508
2027-01-01,,135746.1670174396
2028-01-01,,148621.20676600005
2029-01-01,,161734.50794061503
2030-01-01,,175090.47973211072
2031-01-01,,188693.61292640844
2032-01-01,,202548.4814144979
2033-01-01,,216659.74373035313
2034-01-01,,231032.14461730924
2035-01-01,,245670.51662342533
2036-01-01,,260579.78172637123
2037-01-01,,275764.9529883836
2038-01-01,,291231.13624184823
2039-01-01,,306983.53180607513
2040-01-01,,323027.4362358438
