,Generation_GWh,predicted_mean
2006-01-01,220.62,
2007-01-01,215.88,
2008-01-01,11065.371,
2009-01-01,13199.54,
2010-01-01,15171.851,
2011-01-01,18313.438,
2012-01-01,21339.002,
2013-01-01,25355.877,
2014-01-01,28348.83,
2015-01-01,31930.113,
2016-01-01,35044.847,
2017-01-01,48216.754,
2018-01-01,54808.342,
2019-01-01,64930.58,
2020-01-01,69149.642,
2021-01-01,,79086.58347574752
2022-01-01,,83650.28791105791
2023-01-01,,93672.32393668962
2024-01-01,,98236.028372
2025-01-01,,108258.06439763171
2026-01-01,,112821.76883294209
2027-01-01,,122843.8048585738
2028-01-01,,127407.50929388418
2029-01-01,,137429.5453195159
2030-01-01,,141993.24975482628
